report_date,location,value
4/9/16,Argentina-Tierra_del_Fuego,0
4/9/16,Argentina-Tierra_del_Fuego,0
4/9/16,Argentina-Tierra_del_Fuego,0
4/9/16,Argentina-Tierra_del_Fuego,0
4/9/16,Argentina-Tierra_del_Fuego,0
4/9/16,Argentina-Tierra_del_Fuego,0
4/9/16,Argentina-Tucuman,0
4/9/16,Argentina-Tucuman,0
4/9/16,Argentina-Tucuman,0
4/9/16,Argentina-Tucuman,0
4/9/16,Argentina-Tucuman,38
4/9/16,Argentina-Tucuman,0
4/16/16,Argentina-Buenos_Aires,0
4/16/16,Argentina-Buenos_Aires,0
4/16/16,Argentina-Buenos_Aires,2
4/16/16,Argentina-Buenos_Aires,1
4/16/16,Argentina-Buenos_Aires,183
4/16/16,Argentina-Buenos_Aires,21
4/16/16,Argentina-CABA,0
4/16/16,Argentina-CABA,0
4/16/16,Argentina-CABA,9
4/16/16,Argentina-CABA,0
4/16/16,Argentina-CABA,87
4/16/16,Argentina-CABA,2
4/16/16,Argentina-Catamarca,0
4/16/16,Argentina-Catamarca,0
4/16/16,Argentina-Catamarca,0
4/16/16,Argentina-Catamarca,0
4/16/16,Argentina-Catamarca,15
4/16/16,Argentina-Catamarca,0
4/16/16,Argentina-Chaco,0
4/16/16,Argentina-Chaco,0
4/16/16,Argentina-Chaco,0
4/16/16,Argentina-Chaco,0
4/16/16,Argentina-Chaco,60
4/16/16,Argentina-Chaco,1
4/16/16,Argentina-Chubut,0
4/16/16,Argentina-Chubut,0
4/16/16,Argentina-Chubut,1
4/16/16,Argentina-Chubut,0
4/16/16,Argentina-Chubut,5
4/16/16,Argentina-Chubut,0
4/16/16,Argentina-Cordoba,1
4/16/16,Argentina-Cordoba,0
4/16/16,Argentina-Cordoba,2
4/16/16,Argentina-Cordoba,0
4/16/16,Argentina-Cordoba,30
4/16/16,Argentina-Cordoba,0
4/16/16,Argentina-Corrientes,0
4/16/16,Argentina-Corrientes,0
4/16/16,Argentina-Corrientes,2
4/16/16,Argentina-Corrientes,0
4/16/16,Argentina-Corrientes,19
4/16/16,Argentina-Corrientes,0
4/16/16,Argentina-Entre_Rios,0
4/16/16,Argentina-Entre_Rios,0
4/16/16,Argentina-Entre_Rios,0
4/16/16,Argentina-Entre_Rios,0
4/16/16,Argentina-Entre_Rios,36
4/16/16,Argentina-Entre_Rios,0
4/16/16,Argentina-Formosa,0
4/16/16,Argentina-Formosa,0
4/16/16,Argentina-Formosa,0
4/16/16,Argentina-Formosa,0
4/16/16,Argentina-Formosa,9
4/16/16,Argentina-Formosa,0
4/16/16,Argentina-Jujuy,0
4/16/16,Argentina-Jujuy,0
4/16/16,Argentina-Jujuy,0
4/16/16,Argentina-Jujuy,0
4/16/16,Argentina-Jujuy,510
4/16/16,Argentina-Jujuy,1
4/16/16,Argentina-La_Pampa,0
4/16/16,Argentina-La_Pampa,0
4/16/16,Argentina-La_Pampa,0
4/16/16,Argentina-La_Pampa,0
4/16/16,Argentina-La_Pampa,2
4/16/16,Argentina-La_Pampa,0
4/16/16,Argentina-La_Rioja,0
4/16/16,Argentina-La_Rioja,0
4/16/16,Argentina-La_Rioja,0
4/16/16,Argentina-La_Rioja,0
4/16/16,Argentina-La_Rioja,3
4/16/16,Argentina-La_Rioja,0
4/16/16,Argentina-Mendoza,0
4/16/16,Argentina-Mendoza,0
4/16/16,Argentina-Mendoza,1
4/16/16,Argentina-Mendoza,0
4/16/16,Argentina-Mendoza,15
4/16/16,Argentina-Mendoza,0
4/16/16,Argentina-Misiones,0
4/16/16,Argentina-Misiones,0
4/16/16,Argentina-Misiones,0
4/16/16,Argentina-Misiones,0
4/16/16,Argentina-Misiones,6
4/16/16,Argentina-Misiones,0
4/16/16,Argentina-Neuquen,0
4/16/16,Argentina-Neuquen,0
4/16/16,Argentina-Neuquen,0
4/16/16,Argentina-Neuquen,0
4/16/16,Argentina-Neuquen,20
4/16/16,Argentina-Neuquen,0
4/16/16,Argentina-Rio_Negro,0
4/16/16,Argentina-Rio_Negro,0
4/16/16,Argentina-Rio_Negro,0
4/16/16,Argentina-Rio_Negro,0
4/16/16,Argentina-Rio_Negro,8
4/16/16,Argentina-Rio_Negro,0
4/16/16,Argentina-Salta,0
4/16/16,Argentina-Salta,0
4/16/16,Argentina-Salta,0
4/16/16,Argentina-Salta,0
4/16/16,Argentina-Salta,78
4/16/16,Argentina-Salta,2
4/16/16,Argentina-San_Juan,0
4/16/16,Argentina-San_Juan,0
4/16/16,Argentina-San_Juan,0
4/16/16,Argentina-San_Juan,0
4/16/16,Argentina-San_Juan,0
4/16/16,Argentina-San_Juan,0
4/16/16,Argentina-San_Luis,0
4/16/16,Argentina-San_Luis,0
4/16/16,Argentina-San_Luis,0
4/16/16,Argentina-San_Luis,0
4/16/16,Argentina-San_Luis,10
4/16/16,Argentina-San_Luis,0
4/16/16,Argentina-Santa_Cruz,0
4/16/16,Argentina-Santa_Cruz,0
4/16/16,Argentina-Santa_Cruz,0
4/16/16,Argentina-Santa_Cruz,0
4/16/16,Argentina-Santa_Cruz,9
4/16/16,Argentina-Santa_Cruz,0
4/16/16,Argentina-Santa_Fe,0
4/16/16,Argentina-Santa_Fe,0
4/16/16,Argentina-Santa_Fe,0
4/16/16,Argentina-Santa_Fe,0
4/16/16,Argentina-Santa_Fe,28
4/16/16,Argentina-Santa_Fe,2
4/16/16,Argentina-Sgo_Del_Estero,0
4/16/16,Argentina-Sgo_Del_Estero,0
4/16/16,Argentina-Sgo_Del_Estero,0
4/16/16,Argentina-Sgo_Del_Estero,0
4/16/16,Argentina-Sgo_Del_Estero,6
